HPI_rank,Country,ISO,,Continent,Population_thousands,Life Expectancy_years,Ladder_of_life_Wellbeing,Ecological_Footprint_gha,HPI,Biocapacity_year_gha,GDP_per_capita
25,Kyrgyzstan,KGZ,2019KGZ,7,6415.851,71.5,5.685220718,1.439890394,53.70421002,1.56,5253.667034
26,Serbia,SRB,2019SRB,7,8772.228,76,6.241407394,2.691386041,53.21580638,1.56,18350.58731
27,Nepal,NPL,2019NPL,6,28608.715,70.8,5.448724747,1.202942693,53.05560432,1.56,3416.791282
28,Thailand,THA,2019THA,8,69625.581,77.2,6.02215147,2.657845518,52.90452836,1.56,18459.99486
29,Germany,DEU,2019DEU,3,83517.046,81.3,7.035472393,4.437431497,52.73131728,1.56,53810.56545
30,Spain,ESP,2019ESP,3,46736.782,83.6,6.457449436,4.142668854,52.3355153,1.56,40936.21952
31,France,FRA,2019FRA,3,65129.731,82.7,6.689644337,4.409367891,51.81547019,1.56,46112.95795
32,Mauritius,MUS,2019MUS,5,1269.67,75,6.241165161,2.851947239,51.52077767,1.56,22870.28625
33,Finland,FIN,2019FIN,3,5532.159,81.9,7.780347824,5.758156194,51.2716938,1.56,48802.8881
34,Senegal,SEN,2019SEN,5,16296.362,67.9,5.488736629,1.15246151,51.19518904,1.56,3394.868808
35,Ireland,IRL,2019IRL,3,4882.498,82.3,7.254841328,5.196829053,51.14850813,1.56,86826.3351
36,Albania,ALB,2019ALB,7,2880.913,78.6,4.995317936,1.953726297,51.03309375,1.56,13724.05879
37,Moldova,MDA,2019MDA,7,4043.258,71.9,5.803450584,2.041505872,50.96889516,1.56,13022.0046
38,Norway,NOR,2019NOR,3,5378.859,82.4,7.442139626,5.509702465,50.87519275,1.56,64962.26227
39,Morocco,MAR,2019MAR,4,36471.766,76.7,5.056751728,1.822641984,50.87309546,1.56,7514.720881
40,Italy,ITA,2019ITA,3,60550.092,83.5,6.445416927,4.453128053,50.69761829,1.56,42416.41671
41,Sweden,SWE,2019SWE,3,10036.391,82.8,7.398092747,5.605593113,50.50051612,1.56,52642.3152
42,"Palestine, State of",PSE,2019PSE,4,4981.422,74,4.48253727,0.935436498,50.25928365,1.56,6219.960291
43,Argentina,ARG,2019ARG,1,44780.675,76.7,6.085560799,3.191470119,49.98872592,1.56,22063.90437
44,Indonesia,IDN,2019IDN,8,270625.567,71.7,5.346512794,1.735159206,49.59797812,1.56,11812.19764
45,Cyprus,CYP,2019CYP,3,1198.574,81,6.136832714,3.974458505,49.4183661,1.56,39544.68185
46,Venezuela,VEN,2019VEN,1,28515.829,72.1,5.080803394,1.593181787,48.94059614,1.56,#N/A
47,Greece,GRC,2019GRC,3,10473.452,82.2,5.952157497,4.035081313,48.81002762,1.56,30463.04105
48,Vietnam,VNM,2019VNM,8,96462.108,75.4,5.467451096,2.56373618,48.44459745,1.56,8041.178551
49,Israel,ISR,2019ISR,4,8519.373,83,7.331779957,6.11135185,48.24342147,1.56,40200.28742
50,Azerbaijan,AZE,2019AZE,7,10047.719,73,5.173389435,1.968940748,48.03454046,1.56,14402.46386
51,Cambodia,KHM,2019KHM,8,16486.542,69.8,4.998284817,1.364666284,47.96745103,1.56,4388.800909
52,Iceland,ISL,2019ISL,3,339.037,83,7.532504559,6.455306668,47.95688519,1.56,55699.71639
53,Slovenia,SVN,2019SVN,7,2078.654,81.3,6.665273666,5.045764978,47.88454788,1.56,39029.72579
54,Bosnia and Herzegovina,BIH,2019BIH,7,3300.998,77.4,6.01552248,3.648305094,47.78103944,1.56,14922.14851
55,Paraguay,PRY,2019PRY,1,7044.639,74.3,5.652625561,2.795780376,47.60305593,1.56,12685.1134
56,Congo (Brazzaville),COG,2019COG,5,5380.504,64.6,5.212622643,1.048699638,47.15744747,1.56,3673.117827
57,Japan,JPN,2019JPN,8,126860.299,84.6,5.908039093,4.710935754,47.06372618,1.56,41667.1791
58,Czech Republic,CZE,2019CZE,7,10689.213,79.4,6.965628386,5.400431879,46.8144963,1.56,40828.05984
59,Austria,AUT,2019AUT,3,8955.108,81.5,7.195361137,6.05452653,46.81302886,1.56,56011.61122
60,Sri Lanka,LKA,2019LKA,6,21323.734,77,4.213299274,1.501491981,46.79711602,1.56,13078.09812
61,Slovakia,SVK,2019SVK,7,5457.012,77.5,6.243428707,4.217127795,46.57431406,1.56,31965.32847
62,Algeria,DZA,2019DZA,4,43053.054,76.9,4.744627476,2.22316038,46.48894951,1.56,11510.55709
63,Portugal,PRT,2019PRT,3,10226.178,82,6.095473289,4.776021175,46.26293284,1.56,34904.68577
64,Romania,ROU,2019ROU,7,19364.558,76,6.129942417,3.925004477,46.21227471,1.56,29968.57521
65,Croatia,HRV,2019HRV,7,4130.299,78.5,5.625743866,3.641389841,46.20843547,1.56,28845.29047
66,Liberia,LBR,2019LBR,5,4937.374,64.1,5.121460915,1.065146506,46.0225342,1.56,1427.81909
67,Chile,CHL,2019CHL,1,18952.035,80.2,5.942250252,4.443800777,45.64123987,1.56,25131.46476
68,Singapore,SGP,2019SGP,8,5804.343,83.6,6.378359795,5.598810316,45.54925389,1.56,97341.46865
69,Hungary,HUN,2019HUN,7,9684.68,76.9,6.000259876,4.067559062,45.44647998,1.56,32639.5083
70,Denmark,DNK,2019DNK,3,5771.877,80.9,7.693003178,7.047285091,45.32635001,1.56,57862.27828
71,Iraq,IRQ,2019IRQ,4,39309.789,70.6,4.835783005,1.736921221,45.27885667,1.56,10881.17209
72,Kenya,KEN,2019KEN,5,52573.967,66.7,4.618850231,0.987102409,45.18295778,1.56,4329.87139
73,Pakistan,PAK,2019PAK,6,216565.317,67.3,4.442717552,0.873785382,45.10544179,1.56,4690.484755
74,Poland,POL,2019POL,7,37887.771,78.7,6.24209404,4.770052414,45.0226049,1.56,33226.26592
75,Bolivia,BOL,2019BOL,1,11513.102,71.5,5.67427063,2.940349746,44.99913781,1.56,8724.475702
76,Uganda,UGA,2019UGA,5,44269.587,63.4,4.948051453,0.98585989,44.76973343,1.56,2187.464881
77,Yemen,YEM,2019YEM,4,29161.922,66.1,4.196912766,0.515748973,44.62843323,1.56,#N/A
78,Georgia,GEO,2019GEO,7,3996.762,73.8,4.89183569,2.428397442,44.2727762,1.56,14993.12044
79,Mozambique,MOZ,2019MOZ,5,30366.043,60.9,4.932132721,0.720906458,44.18803798,1.56,1281.391836
80,Madagascar,MDG,2019MDG,5,26969.306,67,4.339087486,0.86518582,44.1806548,1.56,1647.02116
81,Tunisia,TUN,2019TUN,4,11694.721,76.7,4.315479755,2.118263819,43.92253442,1.56,10755.60815
82,North Macedonia,MKD,2019MKD,7,2083.458,75.8,5.015485287,2.953336353,43.85874421,1.56,16660.45011
83,Jordan,JOR,2019JOR,4,10101.697,74.5,4.452548027,2.030631176,43.85457626,1.56,10071.38287
84,Iran,IRN,2019IRN,4,82913.893,76.7,5.006145954,3.115897585,43.632488,1.56,12389.22159
85,Malta,MLT,2019MLT,3,440.377,82.5,6.73297739,6.501664888,43.5028292,1.56,43585.36486
86,Egypt,EGY,2019EGY,4,100388.076,72,4.327831745,1.670407029,43.17843848,1.56,11763.25364
87,Taiwan,TWN,2019TWN,8,23773.881,80.4627,6.537089825,5.969634938,43.15363214,1.56,#N/A
